transaction_id,timestamp,sender_upi,receiver_upi,amount,status,type
UPI-REG-118,2026-02-19T10:00:00Z,retail_buyer_18@paytm,ravistores@oksbi,3900,SUCCESS,CREDIT
UPI-REG-119,2026-02-20T10:00:00Z,retail_buyer_19@paytm,ravistores@oksbi,4050,SUCCESS,CREDIT
UPI-CYC-1A,2026-02-10T09:30:00Z,ravistores@oksbi,trader_x_associates@icici,50000.0,SUCCESS,DEBIT
UPI-CYC-1B,2026-02-11T14:15:00Z,trader_x_associates@icici,ravistores@oksbi,49500.0,SUCCESS,CREDIT
UPI-CYC-2A,2026-02-15T11:00:00Z,ravistores@oksbi,friend_y_fin@hdfcbank,75000.0,SUCCESS,DEBIT
UPI-CYC-2B,2026-02-16T16:45:00Z,friend_y_fin@hdfcbank,ravistores@oksbi,74000.0,SUCCESS,CREDIT
UPI-CYC-3A,2026-02-20T08:00:00Z,ravistores@oksbi,shell_z_enterprises@axisbank,100000.0,SUCCESS,DEBIT
UPI-CYC-3B,2026-02-22T10:30:00Z,shell_z_enterprises@axisbank,ravistores@oksbi,98000.0,SUCCESS,CREDIT
UPI-UNI-1,2026-02-01T12:00:00Z,frequent_user_0@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-2,2026-02-02T12:00:00Z,frequent_user_1@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-3,2026-02-03T12:00:00Z,frequent_user_2@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-4,2026-02-04T12:00:00Z,frequent_user_0@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-5,2026-02-05T12:00:00Z,frequent_user_1@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-6,2026-02-06T12:00:00Z,frequent_user_2@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-7,2026-02-07T12:00:00Z,frequent_user_0@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-8,2026-02-08T12:00:00Z,frequent_user_1@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-9,2026-02-09T12:00:00Z,frequent_user_2@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-10,2026-02-10T12:00:00Z,frequent_user_0@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-11,2026-02-11T12:00:00Z,frequent_user_1@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-12,2026-02-12T12:00:00Z,frequent_user_2@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-13,2026-02-13T12:00:00Z,frequent_user_0@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-14,2026-02-14T12:00:00Z,frequent_user_1@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-15,2026-02-15T12:00:00Z,frequent_user_2@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-16,2026-02-16T12:00:00Z,frequent_user_0@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-17,2026-02-17T12:00:00Z,frequent_user_1@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-18,2026-02-18T12:00:00Z,frequent_user_2@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-19,2026-02-19T12:00:00Z,frequent_user_0@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-20,2026-02-20T12:00:00Z,frequent_user_1@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-21,2026-02-21T12:00:00Z,frequent_user_2@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-22,2026-02-22T12:00:00Z,frequent_user_0@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
UPI-UNI-23,2026-02-23T12:00:00Z,frequent_user_1@upi,ravistores@oksbi,25000.0,SUCCESS,CREDIT
